No,ユーザー/社員ID,グループ社員ID,社員番号,姓,名,申請区分(異動事由),メモ,昇降格サイン,降格理由,給与等級変更サイン,雇用タイプ_新,本務兼務区分_新,兼務理由_新,出向元会社_新,出向元会社社員番号_新,休職者サイン_新,ポジションコード_新,組織コード_新,ビジネスユニット_新,部門_新,統括部_新,グループ_新,チーム_新,役職_新,フリータイトル_新,出向先会社_新,勤務場所_新,コストセンター_新,上司ポジションコード_新,上司氏名_新,ジョブファミリー_新,ジョブタイプ_新,ポジション_バンド_新,バンド_新,給与等級_新,業務研修ポジション_新,非組合協定対象者_新,ポジション_労働組合員_新,労働組合員_新,ポジション_裁量労働対象_新,裁量労働対象_新,雇用タイプ,本務兼務区分,兼務理由,出向元会社,出向元会社社員番号,休職者サイン,ポジションコード,組織コード,ビジネスユニット,部門,統括部,グループ,チーム,役職,フリータイトル,出向先会社,勤務場所,コストセンター,上司ポジションコード,上司氏名,ジョブファミリー,ジョブタイプ,ポジション_バンド,バンド,給与等級,業務研修ポジション,非組合協定対象者,ポジション_労働組合員,労働組合員,ポジション_裁量労働対象,裁量労働対象,除外理由
11,SF011,,SF011,木村,大地,,,,,, 正社員,本務,,,,,P011,org_a_dx,,,,,, 担当,,, 東京本社,CC-A001,,P010,井上 さくら, IT・DX,担当職,B3,B3,3等級,,, True,True,True,True, 正社員,本務,,,,,P011,org_a_dx,,,,,, 担当,,, 東京本社,CC-A001,,P010,井上 さくら, IT・DX,担当職,B3,B3,3等級,,, True,True,True,True,
12,SF012,,SF012,林,美穂,,,,,, 正社員,本務,,,,,P012,org_a_dx,,,,,, 担当,,, 東京本社,CC-A001,,P010,井上 さくら, IT・DX,担当職,B3,B3,3等級,,, True,True,True,True, 正社員,本務,,,,,P012,org_a_dx,,,,,, 担当,,, 東京本社,CC-A001,,P010,井上 さくら, IT・DX,担当職,B3,B3,3等級,,, True,True,True,True,
13,SF013,,SF013,清水,航,,,,,, 正社員,本務,,,,,P013,org_a_dx,,,,,, 担当,,, 東京本社,CC-A001,,P010,井上 さくら, IT・DX,担当職,B3,B3,3等級,,, True,True,True,True, 正社員,本務,,,,,P013,org_a_dx,,,,,, 担当,,, 東京本社,CC-A001,,P010,井上 さくら, IT・DX,担当職,B3,B3,3等級,,, True,True,True,True,
14,SF014,,SF014,山田,太郎,,,,,, 正社員,本務,,,,,P014,org_a_eigyo,,,,,, 本部長,,, 東京本社,CC-A002,,,, 営業,管理職,B6,B6,6等級,,, False,False,False,False, 正社員,本務,,,,,P014,org_a_eigyo,,,,,, 本部長,,, 東京本社,CC-A002,,,, 営業,管理職,B6,B6,6等級,,, False,False,False,False,
15,SF015,,SF015,佐藤,美咲,,,,,, 正社員,本務,,,,,P015,org_a_eigyo1,,,,,, 部長,,, 東京本社,CC-A002,,P014,山田 太郎, 営業,管理職,B5,B5,5等級,,, False,False,False,False, 正社員,本務,,,,,P015,org_a_eigyo1,,,,,, 部長,,, 東京本社,CC-A002,,P014,山田 太郎, 営業,管理職,B5,B5,5等級,,, False,False,False,False,
16,SF016,,SF016,阿部,直人,,,,,, 正社員,本務,,,,,P016,org_a_ka1,,,,,, 課長,,, 東京本社,CC-A002,,P015,佐藤 美咲, 営業,主任職,B4,B4,4等級,,, True,True,False,False, 正社員,本務,,,,,P016,org_a_ka1,,,,,, 課長,,, 東京本社,CC-A002,,P015,佐藤 美咲, 営業,主任職,B4,B4,4等級,,, True,True,False,False,
17,SF017,,SF017,池田,麻衣,,,,,, 正社員,本務,,,,,P017,org_a_ka1,,,,,, 担当,,, 東京本社,CC-A002,,P016,阿部 直人, 営業,担当職,B3,B3,3等級,,, True,True,False,False, 正社員,本務,,,,,P017,org_a_ka1,,,,,, 担当,,, 東京本社,CC-A002,,P016,阿部 直人, 営業,担当職,B3,B3,3等級,,, True,True,False,False,
18,SF018,,SF018,橋本,俊介,,,,,, 正社員,本務,,,,,P018,org_a_ka1,,,,,, 担当,,, 東京本社,CC-A002,,P016,阿部 直人, 営業,担当職,B3,B3,3等級,,, True,True,False,False, 正社員,本務,,,,,P018,org_a_ka1,,,,,, 担当,,, 東京本社,CC-A002,,P016,阿部 直人, 営業,担当職,B3,B3,3等級,,, True,True,False,False,
19,SF019,,SF019,石川,由香,,,,,, 正社員,本務,,,,,P019,org_a_ka1,,,,,, 担当,,, 東京本社,CC-A002,,P016,阿部 直人, 営業,担当職,B2,B2,2等級,,, True,True,False,False, 正社員,本務,,,,,P019,org_a_ka1,,,,,, 担当,,, 東京本社,CC-A002,,P016,阿部 直人, 営業,担当職,B2,B2,2等級,,, True,True,False,False,
20,SF020,,SF020,前田,雄太,,,,,, 正社員,本務,,,,,P020,org_a_ka2,,,,,, 課長,,, 東京本社,CC-A002,,P015,佐藤 美咲, 営業,主任職,B4,B4,4等級,,, True,True,False,False, 正社員,本務,,,,,P020,org_a_ka2,,,,,, 課長,,, 東京本社,CC-A002,,P015,佐藤 美咲, 営業,主任職,B4,B4,4等級,,, True,True,False,False,
21,SF021,,SF021,藤田,実咲,,,,,, 正社員,本務,,,,,P021,org_a_ka2,,,,,, 担当,,, 東京本社,CC-A002,,P020,前田 雄太, 営業,担当職,B3,B3,3等級,,, True,True,False,False, 正社員,本務,,,,,P021,org_a_ka2,,,,,, 担当,,, 東京本社,CC-A002,,P020,前田 雄太, 営業,担当職,B3,B3,3等級,,, True,True,False,False,
22,SF022,,SF022,後藤,誠司,,,,,, 正社員,本務,,,,,P022,org_a_ka2,,,,,, 担当,,, 東京本社,CC-A002,,P020,前田 雄太, 営業,担当職,B3,B3,3等級,,, True,True,False,False, 正社員,本務,,,,,P022,org_a_ka2,,,,,, 担当,,, 東京本社,CC-A002,,P020,前田 雄太, 営業,担当職,B3,B3,3等級,,, True,True,False,False,
23,SF023,,SF023,近藤,千尋,,,,,, 正社員,本務,,,,,P023,org_a_ka2,,,,,, 担当,,, 東京本社,CC-A002,,P020,前田 雄太, 営業,担当職,B2,B2,2等級,,, True,True,False,False, 正社員,本務,,,,,P023,org_a_ka2,,,,,, 担当,,, 東京本社,CC-A002,,P020,前田 雄太, 営業,担当職,B2,B2,2等級,,, True,True,False,False,
24,SF024,,SF024,村田,剛,,,,,, 正社員,本務,,,,,P024,org_a_eigyo2,,,,,, 部長,,, 東京本社,CC-A002,,P014,山田 太郎, 営業,管理職,B5,B5,5等級,,, False,False,False,False, 正社員,本務,,,,,P024,org_a_eigyo2,,,,,, 部長,,, 東京本社,CC-A002,,P014,山田 太郎, 営業,管理職,B5,B5,5等級,,, False,False,False,False,
25,SF025,,SF025,長谷川,博,,,,,, 正社員,本務,,,,,P025,org_a_eigyo_kikaku,,,,,, 部長,,, 東京本社,CC-A002,,P014,山田 太郎, 営業,管理職,B5,B5,5等級,,, False,False,False,False, 正社員,本務,,,,,P025,org_a_eigyo_kikaku,,,,,, 部長,,, 東京本社,CC-A002,,P014,山田 太郎, 営業,管理職,B5,B5,5等級,,, False,False,False,False,
26,SF026,,SF026,西田,香織,,,,,, 正社員,本務,,,,,P026,org_a_eigyo_kikaku,,,,,, 担当,,, 東京本社,CC-A002,,P025,長谷川 博, 営業,担当職,B3,B3,3等級,,, True,True,False,False, 正社員,本務,,,,,P026,org_a_eigyo_kikaku,,,,,, 担当,,, 東京本社,CC-A002,,P025,長谷川 博, 営業,担当職,B3,B3,3等級,,, True,True,False,False,
27,SF027,,SF027,藤井,一郎,,,,,, 正社員,本務,,,,,P027,org_a_eigyo_kikaku,,,,,, 担当,,, 東京本社,CC-A002,,P025,長谷川 博, 営業,担当職,B3,B3,3等級,,, True,True,False,False, 正社員,本務,,,,,P027,org_a_eigyo_kikaku,,,,,, 担当,,, 東京本社,CC-A002,,P025,長谷川 博, 営業,担当職,B3,B3,3等級,,, True,True,False,False,
28,SF028,,SF028,岡田,杏奈,,,,,, 正社員,本務,,,,, P028,org_a_shukko,,,,,, 出向中,,comp_b,東京本社,CC-A003,,P001,田中 健一, 人事,主任職,B4,B4,4等級,,, True,True,False,False, 正社員,本務,,,,, P028,org_a_shukko,,,,,, 出向中,,comp_b,東京本社,CC-A003,,P001,田中 健一, 人事,主任職,B4,B4,4等級,,, True,True,False,False,
29,SF029,,SF029,中島,千恵,,,,,, 正社員,本務,,,,, P029,org_a_shukko,,,,,, 出向中,,comp_b,東京本社,CC-A003,,P014,山田 太郎, 人事,担当職,B3,B3,3等級,,, True,True,False,False, 正社員,本務,,,,, P029,org_a_shukko,,,,,, 出向中,,comp_b,東京本社,CC-A003,,P014,山田 太郎, 人事,担当職,B3,B3,3等級,,, True,True,False,False,
30,SF030,,SF030,松田,健,,,,,, 正社員,本務,,,,, P030,org_a_shukko,,,,,, 出向中,,comp_b,東京本社,CC-A003,,P014,山田 太郎, 人事,担当職,B3,B3,3等級,,, True,True,False,False, 正社員,本務,,,,, P030,org_a_shukko,,,,,, 出向中,,comp_b,東京本社,CC-A003,,P014,山田 太郎, 人事,担当職,B3,B3,3等級,,, True,True,False,False,
31,SF031,,SF031,坂本,理恵,,,,,, 正社員,本務,,,,,P034,org_b_eigyo,,,,,, 部長,,, 大阪事業所,CC-B001,,,, 営業,管理職,B5,B5,5等級,,, False,False,False,False, 正社員,本務,,,,,P034,org_b_eigyo,,,,,, 部長,,, 大阪事業所,CC-B001,,,, 営業,管理職,B5,B5,5等級,,, False,False,False,False,
32,SF032,,SF032,内田,悠太,,,,,, 正社員,本務,,,,,P035,org_b_eigyo,,,,,, 担当,,, 大阪事業所,CC-B001,,P034,坂本 理恵, 営業,担当職,B3,B3,3等級,,, True,True,False,False, 正社員,本務,,,,,P035,org_b_eigyo,,,,,, 担当,,, 大阪事業所,CC-B001,,P034,坂本 理恵, 営業,担当職,B3,B3,3等級,,, True,True,False,False,
33,SF033,,SF033,原田,博美,,,,,, 正社員,本務,,,,,P036,org_b_eigyo,,,,,, 担当,,, 大阪事業所,CC-B001,,P034,坂本 理恵, 営業,担当職,B3,B3,3等級,,, True,True,False,False, 正社員,本務,,,,,P036,org_b_eigyo,,,,,, 担当,,, 大阪事業所,CC-B001,,P034,坂本 理恵, 営業,担当職,B3,B3,3等級,,, True,True,False,False,
34,SF034,,SF034,増田,恵理,,,,,, 正社員,本務,,,,,P037,org_b_kaihatsu,,,,,, 部長,,, 大阪事業所,CC-B002,,,, IT・開発,管理職,B5,B5,5等級,,, False,False,False,False, 正社員,本務,,,,,P037,org_b_kaihatsu,,,,,, 部長,,, 大阪事業所,CC-B002,,,, IT・開発,管理職,B5,B5,5等級,,, False,False,False,False,
35,SF035,,SF035,石田,浩,,,,,, 正社員,本務,,,,,P038,org_b_kaihatsu,,,,,, 担当,,, 大阪事業所,CC-B002,,P037,増田 恵理, IT・開発,担当職,B3,B3,3等級,,, True,True,False,False, 正社員,本務,,,,,P038,org_b_kaihatsu,,,,,, 担当,,, 大阪事業所,CC-B002,,P037,増田 恵理, IT・開発,担当職,B3,B3,3等級,,, True,True,False,False,
36,SF036,,SF036,山崎,彩香,,,,,, 正社員,本務,,,,,P039,org_b_kaihatsu,,,,,, 担当,,, 大阪事業所,CC-B002,,P037,増田 恵理, IT・開発,担当職,B3,B3,3等級,,, True,True,False,False, 正社員,本務,,,,,P039,org_b_kaihatsu,,,,,, 担当,,, 大阪事業所,CC-B002,,P037,増田 恵理, IT・開発,担当職,B3,B3,3等級,,, True,True,False,False,
37,SF037,,SF037,川口,竜也,,,,,, 正社員,本務,,,,,P040,org_b_kaihatsu,,,,,, 担当,,, 大阪事業所,CC-B002,,P037,増田 恵理, IT・開発,担当職,B3,B3,3等級,,, True,True,False,False, 正社員,本務,,,,,P040,org_b_kaihatsu,,,,,, 担当,,, 大阪事業所,CC-B002,,P037,増田 恵理, IT・開発,担当職,B3,B3,3等級,,, True,True,False,False,
